nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256036969,2026-07-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256219937,2026-07-18,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-07-18,4,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-07-18,427,39,3,102000,2,68000,0,0,9,8,100,11,RUB
270762735,2026-07-18,581,50,4,160000,4,160000,0,0,9,8,100,6,RUB
270764754,2026-07-18,185,15,1,34000,0,0,0,0,8,7,0,1,RUB
284082008,2026-07-18,27,1,0,0,0,0,0,0,4,0,0,0,RUB
293965031,2026-07-18,7,0,0,0,0,0,0,0,0,0,0,0,RUB
293981294,2026-07-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-07-18,36,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-07-18,4,0,0,0,0,0,0,0,0,0,0,0,RUB
390144022,2026-07-18,7,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-07-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
444548787,2026-07-18,3,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-07-18,4,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-07-18,4,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-07-18,80,1,0,0,0,0,0,0,1,0,0,1,RUB
523358338,2026-07-18,121,3,0,0,0,0,0,0,2,0,0,0,RUB
523358339,2026-07-18,96,6,0,0,0,0,0,0,6,0,0,3,RUB
539825994,2026-07-18,1370,121,10,410005,6,246000,1,41000,9,8,86,50,RUB
539825996,2026-07-18,297,17,1,58400,1,58400,0,0,6,6,100,5,RUB
539838210,2026-07-18,43,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-07-18,70,7,1,50700,1,50700,0,0,10,14,100,2,RUB
566938282,2026-07-18,27,2,0,0,0,0,0,0,7,0,0,0,RUB
566954273,2026-07-18,2,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-07-18,232,31,4,51004,1,12751,1,12751,13,13,50,11,RUB
807108695,2026-07-18,27,2,0,0,0,0,0,0,7,0,0,1,RUB
807135461,2026-07-18,93,5,0,0,0,0,0,0,5,0,0,0,RUB
846223764,2026-07-18,8,0,0,0,0,0,0,0,0,0,0,0,RUB
846223785,2026-07-18,16,0,0,0,0,0,0,0,0,0,0,1,RUB
846223804,2026-07-18,4,0,0,0,0,0,0,0,0,0,0,0,RUB
859094794,2026-07-18,262,20,4,160004,1,40001,1,40001,8,20,50,4,RUB
859100406,2026-07-18,643,58,3,109500,0,0,0,0,9,5,0,6,RUB
859105127,2026-07-18,66,1,0,0,0,0,0,0,2,0,0,2,RUB
859126078,2026-07-18,193,6,0,0,0,0,0,0,3,0,0,1,RUB
876408553,2026-07-18,5,0,0,0,0,0,0,0,0,0,0,0,RUB
879041649,2026-07-18,640,50,3,111000,2,74000,0,0,8,6,100,10,RUB
879041650,2026-07-18,384,31,5,175000,3,105000,0,0,8,16,100,4,RUB
969113476,2026-07-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969251563,2026-07-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320623,2026-07-18,3,0,0,0,0,0,0,0,0,0,0,0,RUB
