nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256036969,2026-08-06,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-08-06,4,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-08-06,7,1,0,0,0,0,0,0,14,0,0,2,RUB
256606412,2026-08-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
264720068,2026-08-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-08-06,425,22,0,0,0,0,0,0,5,0,0,8,RUB
270764754,2026-08-06,172,8,0,0,0,0,0,0,5,0,0,3,RUB
284082008,2026-08-06,13,0,0,0,0,0,0,0,0,0,0,0,RUB
293965031,2026-08-06,4,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-08-06,31,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-08-06,9,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-08-06,7,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-08-06,2,0,0,0,0,0,0,0,0,0,0,0,RUB
473439818,2026-08-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-08-06,2,0,0,0,0,0,0,0,0,0,0,0,RUB
474794632,2026-08-06,2,0,0,0,0,0,0,0,0,0,0,0,RUB
475802252,2026-08-06,2,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-08-06,3,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-08-06,5,0,0,0,0,0,0,0,0,0,0,0,RUB
523358338,2026-08-06,23,0,0,0,0,0,0,0,0,0,0,0,RUB
523358339,2026-08-06,6,0,0,0,0,0,0,0,0,0,0,0,RUB
535799733,2026-08-06,2,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-08-06,130,5,1,49200,0,0,0,0,4,20,0,1,RUB
539825996,2026-08-06,173,10,0,0,0,0,0,0,6,0,0,2,RUB
539838210,2026-08-06,15,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-08-06,28,0,0,0,0,0,0,0,0,0,0,1,RUB
566938282,2026-08-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
566954273,2026-08-06,7,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-08-06,78,1,0,0,0,0,0,0,1,0,0,2,RUB
807108695,2026-08-06,9,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-08-06,6,0,0,0,0,0,0,0,0,0,0,0,RUB
846223764,2026-08-06,4,0,0,0,0,0,0,0,0,0,0,1,RUB
846223785,2026-08-06,10,0,0,0,0,0,0,0,0,0,0,1,RUB
846223804,2026-08-06,6,0,0,0,0,0,0,0,0,0,0,0,RUB
859094794,2026-08-06,221,18,1,46500,0,0,0,0,8,6,0,3,RUB
859100406,2026-08-06,278,17,1,43800,1,43800,0,0,6,6,100,5,RUB
859105127,2026-08-06,127,8,1,41400,0,0,0,0,6,13,0,4,RUB
859126078,2026-08-06,126,5,0,0,0,0,0,0,4,0,0,1,RUB
876408553,2026-08-06,5,0,0,0,0,0,0,0,0,0,0,0,RUB
879041649,2026-08-06,89,3,0,0,0,0,0,0,3,0,0,6,RUB
879041650,2026-08-06,167,11,0,0,0,0,0,0,7,0,0,5,RUB
969113476,2026-08-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969251563,2026-08-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320623,2026-08-06,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320625,2026-08-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320627,2026-08-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320628,2026-08-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320630,2026-08-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320632,2026-08-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320633,2026-08-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320634,2026-08-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320635,2026-08-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320636,2026-08-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320637,2026-08-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-08-06,391,67,5,33385,0,0,0,0,17,7,0,7,RUB
999069062,2026-08-06,5,0,0,0,0,0,0,0,0,0,0,1,RUB
1011335068,2026-08-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1011335071,2026-08-06,3,1,0,0,0,0,0,0,33,0,0,0,RUB
1044992327,2026-08-06,54,7,2,3238,0,0,1,1619,13,29,0,3,RUB
1094667689,2026-08-06,310,29,1,38520,0,0,0,0,9,3,0,6,RUB
1123433375,2026-08-06,28,0,0,0,0,0,0,0,0,0,0,2,RUB
1136072186,2026-08-06,196,21,2,13800,0,0,0,0,11,10,0,9,RUB
1136072187,2026-08-06,45,2,1,9600,0,0,0,0,4,50,0,0,RUB
1136072188,2026-08-06,8,0,0,0,0,0,0,0,0,0,0,2,RUB
1136072189,2026-08-06,11,0,0,0,0,0,0,0,0,0,0,0,RUB
1178158733,2026-08-06,3,0,0,0,0,0,0,0,0,0,0,0,RUB
256036969,2026-08-07,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-08-07,6,0,0,0,0,0,0,0,0,0,0,2,RUB
256286306,2026-08-07,16,0,0,0,0,0,0,0,0,0,0,1,RUB
256302010,2026-08-07,2,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-08-07,381,22,1,46000,0,0,1,46000,6,5,0,8,RUB
270764754,2026-08-07,170,7,0,0,0,0,0,0,4,0,0,0,RUB
284082008,2026-08-07,13,0,0,0,0,0,0,0,0,0,0,0,RUB
293965031,2026-08-07,3,0,0,0,0,0,0,0,0,0,0,1,RUB
293986771,2026-08-07,20,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-08-07,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-08-07,2,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-08-07,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144967,2026-08-07,1,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-08-07,3,0,0,0,0,0,0,0,0,0,0,0,RUB
