nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256036969,2026-07-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-07-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-07-19,350,56,1,34000,0,0,0,0,16,2,0,9,RUB
256602878,2026-07-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-07-19,651,51,0,0,0,0,0,0,8,0,0,13,RUB
270764754,2026-07-19,173,7,1,34000,0,0,1,34000,4,14,0,1,RUB
284082008,2026-07-19,36,1,0,0,0,0,0,0,3,0,0,0,RUB
293965031,2026-07-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
293981294,2026-07-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-07-19,43,0,0,0,0,0,0,0,0,0,0,1,RUB
320770642,2026-07-19,18,0,0,0,0,0,0,0,0,0,0,1,RUB
390144022,2026-07-19,7,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-07-19,2,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-07-19,5,0,0,0,0,0,0,0,0,0,0,1,RUB
473709751,2026-07-19,3,0,0,0,0,0,0,0,0,0,0,0,RUB
474794632,2026-07-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-07-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-07-19,71,6,0,0,0,0,0,0,8,0,0,0,RUB
523358338,2026-07-19,100,3,0,0,0,0,0,0,3,0,0,0,RUB
523358339,2026-07-19,17,1,1,47000,1,47000,0,0,6,100,100,2,RUB
539825994,2026-07-19,1387,140,7,287000,5,205000,0,0,10,5,100,21,RUB
539825996,2026-07-19,325,20,0,0,0,0,0,0,6,0,0,6,RUB
539838210,2026-07-19,40,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-07-19,136,13,0,0,0,0,0,0,10,0,0,7,RUB
566938282,2026-07-19,18,3,0,0,0,0,0,0,17,0,0,0,RUB
566954273,2026-07-19,2,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-07-19,262,31,7,89257,4,51004,0,0,12,23,100,9,RUB
807108695,2026-07-19,45,5,0,0,0,0,0,0,11,0,0,0,RUB
807135461,2026-07-19,92,5,0,0,0,0,0,0,5,0,0,1,RUB
846223764,2026-07-19,4,0,0,0,0,0,0,0,0,0,0,0,RUB
846223785,2026-07-19,19,0,0,0,0,0,0,0,0,0,0,2,RUB
846223804,2026-07-19,11,0,0,0,0,0,0,0,0,0,0,0,RUB
859094794,2026-07-19,241,19,0,0,0,0,0,0,8,0,0,4,RUB
859100406,2026-07-19,567,55,5,182500,4,146000,1,36500,10,9,80,13,RUB
