nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
256036969,2026-07-09,3,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-07-09,19,0,0,0,0,0,0,0,0,0,0,1,RUB
256286306,2026-07-09,583,46,3,99000,2,66000,1,33000,8,7,67,8,RUB
256302010,2026-07-09,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256602878,2026-07-09,0,1,0,0,0,0,0,0,0,0,0,0,RUB
256606412,2026-07-09,1,0,0,0,0,0,0,0,0,0,0,0,RUB
264720068,2026-07-09,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-07-09,939,78,4,155000,2,78000,1,39000,8,5,67,24,RUB
270764754,2026-07-09,151,2,0,0,0,0,0,0,1,0,0,1,RUB
284082008,2026-07-09,51,2,0,0,0,0,0,0,4,0,0,0,RUB
293965031,2026-07-09,8,0,0,0,0,0,0,0,0,0,0,1,RUB
293981294,2026-07-09,1,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-07-09,91,5,2,84400,0,0,0,0,5,40,0,0,RUB
320770642,2026-07-09,13,0,0,0,0,0,0,0,0,0,0,1,RUB
390144022,2026-07-09,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-07-09,2,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-07-09,4,0,0,0,0,0,0,0,0,0,0,1,RUB
390144967,2026-07-09,1,0,0,0,0,0,0,0,0,0,0,0,RUB
444548787,2026-07-09,1,0,0,0,0,0,0,0,0,0,0,0,RUB
458510866,2026-07-09,4,0,0,0,0,0,0,0,0,0,0,0,RUB
458525384,2026-07-09,3,0,0,0,0,0,0,0,0,0,0,0,RUB
458525385,2026-07-09,2,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-07-09,3,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-07-09,2,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-07-09,193,11,0,0,0,0,0,0,6,0,0,5,RUB
523358338,2026-07-09,166,3,0,0,0,0,0,0,2,0,0,4,RUB
523358339,2026-07-09,42,0,0,0,0,0,0,0,0,0,0,1,RUB
539825994,2026-07-09,1459,161,9,352800,7,274400,2,78400,11,6,78,36,RUB
539825996,2026-07-09,318,22,1,58400,0,0,0,0,7,5,0,9,RUB
539838210,2026-07-09,46,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-07-09,71,5,0,0,0,0,0,0,7,0,0,1,RUB
566938282,2026-07-09,23,0,0,0,0,0,0,0,0,0,0,0,RUB
566954273,2026-07-09,3,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-07-09,253,40,2,25502,2,25502,0,0,16,5,100,16,RUB
804663206,2026-07-09,2,0,0,0,0,0,0,0,0,0,0,0,RUB
807108695,2026-07-09,38,2,0,0,0,0,0,0,5,0,0,0,RUB
807135461,2026-07-09,187,14,2,63002,2,63002,0,0,7,14,100,5,RUB
846223764,2026-07-09,5,0,0,0,0,0,0,0,0,0,0,1,RUB
846223785,2026-07-09,13,1,0,0,0,0,0,0,8,0,0,1,RUB
846223804,2026-07-09,3,0,0,0,0,0,0,0,0,0,0,0,RUB
859094794,2026-07-09,432,34,1,39000,0,0,1,39000,8,3,0,9,RUB
859100406,2026-07-09,725,62,2,73000,1,36500,0,0,9,3,100,13,RUB
859105127,2026-07-09,95,6,7,234500,6,201000,0,0,6,117,100,2,RUB
859126078,2026-07-09,241,11,1,74001,1,74001,0,0,5,9,100,4,RUB
876408553,2026-07-09,26,0,0,0,0,0,0,0,0,0,0,0,RUB
879041649,2026-07-09,695,59,1,35501,1,35501,0,0,8,2,100,20,RUB
879041650,2026-07-09,364,19,3,105000,2,70000,1,35000,5,16,67,9,RUB
969320625,2026-07-09,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320635,2026-07-09,1,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-07-09,128,15,0,0,0,0,0,0,12,0,0,3,RUB
999069062,2026-07-09,41,1,1,7283,1,7283,0,0,2,100,100,1,RUB
1044992327,2026-07-09,1789,244,75,165975,47,104011,8,17704,14,31,85,31,RUB
1094667689,2026-07-09,205,18,0,0,0,0,0,0,9,0,0,4,RUB
1123433375,2026-07-09,153,11,1,6600,1,6600,0,0,7,9,100,0,RUB
1136072186,2026-07-09,192,13,4,25200,4,25200,0,0,7,31,100,1,RUB
1136072187,2026-07-09,130,8,2,19200,0,0,0,0,6,25,0,0,RUB
1136072188,2026-07-09,104,0,0,0,0,0,0,0,0,0,0,5,RUB
1136072189,2026-07-09,107,6,0,0,0,0,0,0,6,0,0,0,RUB
1178158728,2026-07-09,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1178158737,2026-07-09,2,0,0,0,0,0,0,0,0,0,0,0,RUB
1195387528,2026-07-09,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-07-10,18,1,0,0,0,0,0,0,6,0,0,0,RUB
256286306,2026-07-10,546,75,2,66000,1,33000,0,0,14,3,100,11,RUB
256302010,2026-07-10,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256598609,2026-07-10,1,0,0,0,0,0,0,0,0,0,0,0,RUB
264722623,2026-07-10,1,0,0,0,0,0,0,0,0,0,0,0,RUB
